query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3,f_rank1,f_rank2,f_rank3
미납요금 문의,"('SKT 미납센터 연락처', 0.949)","('미납 이용정지', 0.923)","('과납', 0.895)",8,SKT미납센터연락처(0.49359545),미납이용정지(0.45941165),미납직권해지(0.4526814),"('SKT 미납센터 연락처', 0.767)","('미납 이용정지', 0.701)","('과납', 0.635)"
계좌 번호,"('Xbox Game Pass', 0.539)","('Xbox Game Pass 이용 방법', 0.526)","('Sk pay 결제 방법', 0.525)",8,SK텔레콤고객센터운영시간(0.465484915),타통신사고객센터(0.45009775),전화상담사연결(0.4452579),"('자동납부번호 확인 방법', 0.547)","('다른 번호 문의', 0.489)","('연결 관련', 0.408)"
t전화 해제,"('데이터 로밍 차단 해지', 0.974)","('착신금지 서비스 해지 방법', 0.958)","('데이터 로밍 차단 시 통화 문자 이용', 0.956)",8,T전화이용방법(0.470124185),T전화설정방법(0.47003868),T전화모드유지(0.468672215),"('T전화 탈퇴 및 서비스 미사용', 0.718)","('T전화 모드 유지', 0.514)","('T전화채티대화이력삭제', 0.485)"
납부가능날짜,"('요금 납부일 변경 방법', 0.755)","('요금 납부일 확인 방법', 0.733)","('요금 부분 납부 방법', 0.723)",8,"요금납부일확인방법(0.98628944)
",,,"('요금 납부일 확인 방법', 0.811)","('요금 납부일 변경 방법', 0.737)","('단말기 할부금 중도 납부 방법', 0.508)"
상담사와,"('전화 상담사 연결', 0.984)","('A.', 0.918)","('SK텔레콤 고객센터 운영 시간', 0.856)",8,SK텔레콤고객센터운영시간(0.48652135),전화상담사연결(0.48562953),타통신사고객센터(0.474537015),"('전화 상담사 연결', 0.827)","('SK텔레콤 고객센터 운영 시간', 0.569)","('채티 서비스', 0.502)"
카드로 납부,"('제휴카드 할인', 0.821)","('Sk pay 가맹점 확인 방법', 0.803)","('Sk pay 가입 방법', 0.785)",8,요금부분납부방법(0.47216645),요금수납내역확인방법(0.47042665),편의점요금납부(0.46194342),"('T로밍 카드 결제 수단', 0.58)","('OK캐쉬백 납부', 0.573)","('요금 부분 납부 방법', 0.553)"
부재중,"('T_부재중안내', 0.958)","('A.', 0.787)","('제조사 AS 센터 연락처', 0.769)",8,T_부재중안내(0.4618241),T_통화중대기(0.43167775),통화중대기서비스신청방법(0.430767),"('통화중대기 서비스', 0.544)","('T_부재중안내', 0.513)","('부가서비스 가입내역 확인 방법', 0.433)"
핸드폰결제,"('결제 관련', 0.869)","('휴대폰결제 이용동의 신청 방법', 0.778)","('T쿠폰', 0.776)",8,휴대폰결제이용가능대상(0.4704005),콘텐츠이용료가능대상(0.422838775),휴대폰결제이용동의신청방법(0.4171971),"('결제 관련', 0.797)","('휴대폰 결제 이용가능 대상', 0.619)","('휴대폰결제 이용동의 신청 방법', 0.601)"
소액결제 한도변경,"('애플 콘텐츠 이용료 결제 이용 한도', 0.969)","('법인 휴대폰 결제 이용 한도', 0.931)","('OK캐쉬백', 0.521)",8,휴대폰결제이용가능대상(0.45353198),"휴대폰결제이용동의신청방법(0.41761985)
",,"('법인 휴대폰 결제 이용 한도', 0.618)","('애플 콘텐츠 이용료 결제 이용 한도', 0.52)","('휴대폰 결제 이용 제한 방법', 0.401)"
미납납부,"('SKT 미납센터 연락처', 0.934)","('과납', 0.912)","('미납 이용정지', 0.901)",8,SKT미납센터연락처(0.487989275),미납직권해지(0.47268948),SKT해지미납센터연락처(0.466912925),"('과납', 0.733)","('미납 이용정지', 0.706)","('SKT 미납센터 연락처', 0.705)"
휴대폰 결제 한도,"('애플 콘텐츠 이용료 결제 이용 한도', 0.984)","('법인 휴대폰 결제 이용 한도', 0.92)","('T로밍 카드 잔액 조회', 0.524)",8,휴대폰결제이용가능대상(0.46855217),휴대폰결제이용동의신청방법(0.419881285),"자동휴대폰결제차단방법(0.41503802)
","('법인 휴대폰 결제 이용 한도', 0.739)","('애플 콘텐츠 이용료 결제 이용 한도', 0.648)","('060정보료 한도제', 0.476)"
내요금제,"('요금제문의', 0.947)","('요금제 추천', 0.936)","('요금약정 할인제도', 0.931)",8,과납(0.42699795),"부가사용금액(0.41011563)
",,"('요금제문의', 0.648)","('VIP 요금제 프로그램', 0.438)","('유선 인터넷 요금제', 0.428)"
01094203667 1기가 선물,"('T끼리 데이터 선물하기 연령', 0.799)","('T끼리 데이터 선물하기 대상', 0.769)","('T끼리 데이터 선물하기 알림', 0.757)",8,T끼리데이터선물하기받은데이터사용방법(0.42342803),T끼리데이터선물하기연령(0.42330955),T끼리데이터선물하기대상(0.416208),"('baro 1GB 충전', 0.403)",,
미납가능일,"('SKT 미납센터 연락처', 0.927)","('미납 이용정지', 0.909)","('과납', 0.866)",7,SKT미납센터연락처(0.48734835),미납이용정지(0.4625415),미납직권해지(0.43736097),"('요금 납부일 확인 방법', 0.642)","('가산금', 0.6)","('SKT 미납센터 연락처', 0.579)"
말일납부가능,"('요금 납부일 변경 방법', 0.892)","('요금 납부일 확인 방법', 0.877)","('유선 요금 납부일 변경 방법', 0.849)",7,"요금납부일확인방법(0.9039121)
",,,"('요금 납부일 변경 방법', 0.695)","('요금 납부일 확인 방법', 0.656)","('단말기 할부금 중도 납부 방법', 0.532)"
데이터 속도,"('속도 관련', 0.984)","('휴대폰 데이터 속도 저하 조치 방법', 0.942)","('유선 인터넷 속도 저하 조치 방법', 0.933)",6,Wavve속도제어해제(0.45605165),Wavve속도제어해제신청방법(0.44695762),유선인터넷속도저하조치방법(0.4294362),"('속도 관련', 0.936)","('휴대폰 데이터 속도 저하 조치 방법', 0.597)","('데이터 문의 관련', 0.476)"
미납 요금 납부 가능일 문의,"('SKT 미납센터 연락처', 0.885)","('미납 이용정지', 0.87)","('과납', 0.868)",6,SKT미납센터연락처(0.4831681),미납이용정지(0.4569246),미납직권해지(0.4367144),"('요금 납부일 확인 방법', 0.766)","('요금 납부일 변경 방법', 0.616)","('SKT 미납센터 연락처', 0.487)"
해외전화차단,"('퀵보이스 차단 서비스', 0.956)","('무선인터넷 차단', 0.952)","('차단 관련', 0.951)",6,국제전화수신거부서비스(0.45692688),국제전화사업자선택(0.43477112),국제전화수신거부서비스신청방법(0.4226793),"('국제전화수신거부 서비스', 0.598)","('데이터 로밍 차단 시 통화 문자 이용', 0.527)","('차단 관련', 0.416)"
114가 뭐야?,"('전화 상담사 연결', 0.804)","('T쿠폰 고객센터', 0.791)","('전화 관련', 0.783)",6,"전화상담사연결(0.8717949)
",,,"('T전화 T114 이용 방법', 0.618)","('전화 상담사 연결', 0.488)","('번호변경안내 서비스', 0.467)"
통신사 확인,"('타 통신사 고객센터', 0.963)","('T전화', 0.947)","('이동전화 가입 (타사)', 0.938)",6,전화상담사연결(0.4626746),타통신사고객센터(0.45677235),SK텔레콤고객센터운영시간(0.45141268),"('타 통신사 고객센터', 0.749)","('이동전화 가입 (타사)', 0.437)",
자녀 선택약정할인 신청,"('자녀 요금 조회 방법', 0.991)","('자녀요금통보서비스 해지 방법', 0.99)","('자녀요금통보서비스', 0.99)",6,선택약정할인제도만료문자발송시기(0.4524908),선택약정할인제도가입조건(0.44318512),선택약정할인제도약정기간변경(0.437806515),,,
미납요금가능일,"('SKT 미납센터 연락처', 0.889)","('미납 이용정지', 0.876)","('과납', 0.865)",6,SKT미납센터연락처(0.49067305),미납이용정지(0.463526725),미납직권해지(0.440378725),"('SKT 미납센터 연락처', 0.639)","('요금 납부일 확인 방법', 0.605)","('미납 이용정지', 0.602)"
장기 가입 쿠폰,"('장기가입고객 할인제도', 0.964)","('장기 미사용 휴대폰 결제 차단', 0.879)","('휴대폰 결제 장기 미사용 차단 해제 방법', 0.871)",6,T데이터쿠폰사용기간(0.483216585),T데이터쿠폰등록방법(0.48301765),T데이터쿠폰등록기간(0.48289245),"('장기가입고객 할인제도', 0.663)","('장기일시정지', 0.466)","('장기 미사용 휴대폰 결제 차단', 0.433)"
계좌보내주세요,"('Sk pay', 0.652)","('Sk pay 결제 방법', 0.614)","('Sk pay 가맹점 확인 방법', 0.599)",6,SK텔레콤고객센터운영시간(0.4374093),전화상담사연결(0.42713207),타통신사고객센터(0.4081997),"('채팅플러스 계좌 송금 서비스', 0.452)",,
직원상담,"('전화 상담사 연결', 0.973)","('A.', 0.92)","('SK텔레콤 고객센터 운영 시간', 0.877)",6,SK텔레콤고객센터운영시간(0.44430135),전화상담사연결(0.43822565),타통신사고객센터(0.42251065),"('전화 상담사 연결', 0.716)","('SK텔레콤 고객센터 운영 시간', 0.64)","('채티 서비스', 0.461)"
인터넷 미납요금,"('SKT 미납센터 연락처', 0.969)","('미납 이용정지', 0.963)","('과납', 0.829)",6,SKT미납센터연락처(0.47881235),미납직권해지(0.446683465),미납이용정지(0.440462975),"('SKT 미납센터 연락처', 0.541)","('미납 이용정지', 0.47)","('과납', 0.45)"
미납요금관련,"('SKT 미납센터 연락처', 0.94)","('미납 이용정지', 0.907)","('과납', 0.905)",6,SKT미납센터연락처(0.492520275),미납이용정지(0.46706617),미납직권해지(0.44244218),"('SKT 미납센터 연락처', 0.751)","('미납 이용정지', 0.717)","('과납', 0.65)"
핸드폰보험,"('단말 보험 가입 방법', 0.929)","('휴대폰 보험 보상 신청 방법', 0.845)","('분실파손보험', 0.828)",6,단말보험가입방법(0.4940656),휴대폰보험보상신청방법(0.49212565),단말보험해지방법(0.4831895),"('분실파손보험', 0.759)","('단말 보험 가입 방법', 0.711)","('휴대폰 보험 보상 신청 방법', 0.578)"
소액결제 한도상향,"('애플 콘텐츠 이용료 결제 이용 한도', 0.972)","('법인 휴대폰 결제 이용 한도', 0.924)","('OK캐쉬백', 0.506)",6,휴대폰결제이용가능대상(0.4728707),휴대폰결제이용동의신청방법(0.421090635),"자동휴대폰결제차단방법(0.42045665)
","('법인 휴대폰 결제 이용 한도', 0.532)","('애플 콘텐츠 이용료 결제 이용 한도', 0.464)",
타인카드 결제,"('제휴카드 할인', 0.774)","('단말기 자급제도', 0.754)","('원패스 옵션 변경', 0.719)",6,동일신용카드월5회수납제한(0.4603384),"제휴카드할인(0.45306625)
",,"('동일 신용카드 월 5회 수납 제한', 0.495)","('휴대폰 결제 이용가능 대상', 0.47)","('결제 관련', 0.419)"
전체요금,"('실시간 요금 상세 내역', 0.826)","('요금 부분 납부 방법', 0.81)","('부가 사용 금액', 0.767)",6,요금부분납부방법(0.4542822),요금수납내역확인방법(0.451031415),과납(0.44001495),"('실시간 요금 상세 내역', 0.504)","('전국민 무한 요금제', 0.463)","('요금제문의', 0.456)"
요금안내서 설정,"('요금안내서 변경 방법', 0.997)","('유선 요금안내서', 0.993)","('요금안내서 Bill Letter', 0.968)",6,요금안내서변경방법(0.49460435),요금안내서발행유형자동변경해제방법(0.4874996),"요금안내서재발행방법(0.471171915)
","('요금안내서 변경 방법', 0.575)","('제조사 AS 센터 연락처', 0.419)",
미납요금?,"('SKT 미납센터 연락처', 0.933)","('미납 이용정지', 0.917)","('과납', 0.887)",6,SKT미납센터연락처(0.49107105),미납이용정지(0.46090055),미납직권해지(0.44990918),"('SKT 미납센터 연락처', 0.732)","('미납 이용정지', 0.656)","('과납', 0.606)"
요금 미납,"('SKT 미납센터 연락처', 0.934)","('미납 이용정지', 0.915)","('과납', 0.902)",6,SKT미납센터연락처(0.4850084),미납직권해지(0.45963815),SKT해지미납센터연락처(0.450611235),"('과납', 0.666)","('미납 이용정지', 0.649)","('SKT 미납센터 연락처', 0.635)"
11월30일 납부 가능합니다,"('과납', 0.699)","('요금 부분 납부 방법', 0.669)","('미납 직권해지', 0.586)",6,"요금납부일확인방법(0.8196359)
",,,"('요금 납부일 확인 방법', 0.631)","('요금 납부일 변경 방법', 0.562)","('단말기 할부금 중도 납부 방법', 0.557)"
상담 감사합니다,"('A.', 0.96)","('전화 상담사 연결', 0.959)","('퀵보이스', 0.828)",6,전화상담사연결(0.48740745),SK텔레콤고객센터운영시간(0.48357685),타통신사고객센터(0.4642426),"('채티 서비스', 0.693)","('데이터 문의 관련', 0.547)","('전화 상담사 연결', 0.541)"
약정할인연장,"('선택약정 할인제도 약정 기간 변경', 0.866)","('T데이터 쿠폰 등록 기간', 0.824)","('T데이터 쿠폰 사용 기간', 0.818)",6,"요금약정할인제도(0.8089566)
",,,"('연장 관련', 0.538)","('요금약정 할인제도', 0.536)","('선택약정 할인제도 약정 기간 변경', 0.536)"
계좌번호주세요,"('NUGU 서비스 하나은행 금융 기능', 0.612)","('Sk pay 결제 방법', 0.602)","('Sk pay', 0.596)",5,SK텔레콤고객센터운영시간(0.43873593),타통신사고객센터(0.42027682),전화상담사연결(0.41610505),"('자동납부번호 확인 방법', 0.464)",,
요금 내려구요 가상계좌 번호 부탁요 카카오 뱅크로 알려주세요,"('공동인증서 등록 방법', 0.591)","('휴대폰인증서 서비스 해지 방법', 0.559)","('휴대폰인증서서비스', 0.556)",5,"차상위계층한부모가족복지할인제도(0.8416087)
",,,"('자동납부번호 확인 방법', 0.427)",,
해외에서 사용한 금액에 대해 월별로 보내 주시면 감사드리겠습니다,"('T로밍 청구내역서', 0.828)","('요금 수납 내역 확인 방법', 0.81)","('로밍 요금 확인 시점', 0.792)",5,로밍요금확인시점(0.452932835),로밍한사람간통화요금(0.45287515),로밍통화요금(0.44876933),"('T로밍 청구내역서', 0.713)","('로밍 요금 확인 시점', 0.532)","('수납이력서 재발행 방법', 0.466)"
청구서보내요,"('요금안내서 Bill Letter', 0.955)","('유선 요금안내서', 0.943)","('요금안내서 변경 방법', 0.943)",5,요금안내서재발행방법(0.47326845),요금안내서변경방법(0.45751545),"요금안내서발행유형자동변경해제방법(0.4435944)
","('요금안내서 변경 방법', 0.674)","('요금안내서 발행유형 자동 변경 해제 방법', 0.587)","('요금안내서 재발행 방법', 0.557)"
T올케어 해지,"('퀵보이스 해지 방법', 0.969)","('착신전환 해지 방법', 0.962)","('SKT 해지 미납센터 연락처', 0.962)",4,단말보험해지방법(0.4603421),단말보험가입방법(0.4480555),"휴대폰보험보상신청방법(0.44005972)
","('단말보험 해지 방법', 0.456)",,
너 비트박스 할수있어?,"('baro Box 옵션 변경', 0.841)","('타사 고객 baro Box 이용', 0.839)","('baro Box 임대료', 0.82)",4,Btv셋톱박스연동방법(0.422683475),셋톱박스(0.4105281),"Btv블루투스연결(0.4031427)
",,,
플로가입,"('FLO', 0.954)","('FLO 이용 방법', 0.952)","('FLO 앤 데이터', 0.952)",4,FLO이용방법(0.4823972),FLO신청방법(0.473724365),"FLO(0.473541975)
","('FLO 신청 방법', 0.759)","('FLO', 0.639)","('FLO 이용 방법', 0.609)"
baro 요금,"('T전화 baro 이용 방법', 0.976)","('T전화 baro', 0.969)","('로밍폰 임대 예약 방법', 0.963)",4,T전화baro(0.4788899),T전화baro이용방법(0.47479588),"baroYT요금제(0.4473995)
","('T전화 baro', 0.74)","('로밍 통화 요금', 0.604)","('T전화 baro 이용 방법', 0.578)"
전화가  안걸려요,"('전화 관련', 0.924)","('T쿠폰 고객센터', 0.858)","('전화 상담사 연결', 0.849)",4,"휴대폰전화수발신불가조치방법(0.8669474)
",,,"('휴대폰 전화 수발신 불가 조치 방법', 0.76)","('고장 실패 관련', 0.736)","('통화품질 관련', 0.73)"
