query,MTL_rank1,MTL_rank2,MTL_rank3
미납 요금을 11월 30일에 낼게요,"('요금 납부일 변경 방법', 0.571)","('요금 납부일 확인 방법', 0.565)","('SKT 미납센터 연락처', 0.565)"
납부가능날짜 11월30일로 해주세요,"('요금 납부일 변경 방법', 0.748)","('요금 납부일 확인 방법', 0.721)","('단말기 할부금 중도 납부 방법', 0.532)"
실시간청구요금,"('실시간 요금 상세 내역', 0.552)","('요금제문의', 0.517)","('데이터 문의 관련', 0.408)"
납부가능한날짜,"('요금 납부일 확인 방법', 0.822)","('요금 납부일 변경 방법', 0.774)","('요금 수납 내역 확인 방법', 0.542)"
해지된건가요?,"('이동전화 해지 방법', 0.683)","('정지 해제 관련', 0.465)","('철회', 0.46)"
2기가충전,"('baro 2GB 충전', 0.839)","('NUGU mini 충전', 0.496)","('팅 요금 충전 방법', 0.469)"
콘텐츠이용료 한도 변경,"('애플 콘텐츠 이용료 결제 이용 한도', 0.542)","('휴대폰결제 이용 제한 해제 방법', 0.414)",
T올케어 해지,"('단말보험 해지 방법', 0.69)","('T All케어플러스 포인트 서비스 해지 방법', 0.455)","('T 아이폰케어 해지 방법', 0.431)"
현재 미납금,"('SKT 미납센터 연락처', 0.688)","('미납 이용정지', 0.667)","('가산금', 0.627)"
30일 까지 납부 가능합니다,"('단말기 할부금 중도 납부 방법', 0.68)","('요금 납부일 확인 방법', 0.644)","('요금 납부일 변경 방법', 0.593)"
납부가능일 26일,"('요금 납부일 확인 방법', 0.712)","('요금 납부일 변경 방법', 0.614)","('요금 수납 내역 확인 방법', 0.549)"
부재중전화알림,"('콜키퍼', 0.573)","('T_부재중안내', 0.57)","('분실폰 찾기 알람', 0.542)"
장기 가입 쿠폰 사용할래,"('장기가입고객 할인제도', 0.528)","('T쿠폰 등록 방법', 0.409)",
납부기한,"('요금 납부일 확인 방법', 0.724)","('요금 납부일 변경 방법', 0.651)","('단말기 할부금 중도 납부 방법', 0.537)"
21일 입금하겠습니다,"('단말기 할부금 중도 납부 방법', 0.541)","('요금 납부일 확인 방법', 0.533)","('요금 납부일 변경 방법', 0.491)"
미납요금예정일,"('SKT 미납센터 연락처', 0.623)","('요금 납부일 확인 방법', 0.608)","('미납 이용정지', 0.58)"
듀얼번호,"('넘버플러스2', 0.611)","('넘버플러스2 신청 방법', 0.465)","('골드번호', 0.451)"
카드납부가능한가요,"('편의점 요금 납부', 0.512)","('T로밍 카드 결제 수단', 0.5)","('통신과금 선결제 이용 방법', 0.492)"
미납요금 납부일 지정,"('요금 납부일 변경 방법', 0.734)","('요금 납부일 확인 방법', 0.631)","('유선 요금 납부일 변경 방법', 0.491)"
미납요금날짜,"('요금 납부일 확인 방법', 0.676)","('SKT 미납센터 연락처', 0.639)","('가산금', 0.536)"
계좌번호 알려줘,"('자동납부번호 확인 방법', 0.499)",,
21일 납부가능,"('요금 납부일 확인 방법', 0.65)","('요금 납부일 변경 방법', 0.603)","('단말기 할부금 중도 납부 방법', 0.574)"
25일 납부 가능,"('요금 납부일 확인 방법', 0.622)","('단말기 할부금 중도 납부 방법', 0.601)","('요금 납부일 변경 방법', 0.595)"
휴대폰결제 한도 변경,"('법인 휴대폰 결제 이용 한도', 0.555)","('애플 콘텐츠 이용료 결제 이용 한도', 0.494)","('휴대폰 결제 이용 제한 방법', 0.471)"
요금 납부 계좌를 바꾸려면 어떻게 하나요?,"('요금 납부일 변경 방법', 0.53)","('요금 부분 납부 방법', 0.433)","('편의점 요금 납부', 0.428)"
콘텐츠이용료조회,"('콘텐츠 이용료 구매내역 확인 방법', 0.728)","('콘텐츠 이용료 결제 취소 방법', 0.438)","('콘텐츠 이용료 가능 대상', 0.416)"
나는 12살,"('미성년자 관련', 0.732)","('팅 요금제 자동 변경 시기', 0.466)","('T끼리 데이터 선물하기 연령', 0.465)"
선택약정할인 연장해주세요,"('선택약정 할인제도 약정 기간 변경', 0.64)","('선택약정 할인제도 재가입 조건', 0.608)","('선택약정 할인제도 해지 방법', 0.573)"
상담사 문의,"('전화 상담사 연결', 0.855)","('SK텔레콤 고객센터 운영 시간', 0.628)","('채티 서비스', 0.461)"
전화가  안걸려요,"('고장 실패 관련', 0.788)","('통화품질 관련', 0.782)","('휴대폰 전화 수발신 불가 조치 방법', 0.715)"
27일까지 납부가능할까요,"('단말기 할부금 중도 납부 방법', 0.657)","('요금 납부일 확인 방법', 0.608)","('요금 수납 내역 확인 방법', 0.566)"
연락처 복원,"('제조사 AS 센터 연락처', 0.719)","('T전화채티대화이력삭제', 0.437)","('타 통신사 고객센터', 0.431)"
자녀 선택약정할인,"('T자녀안심', 0.408)","('T청소년 안심팩 서비스', 0.404)",
입금을 잘못했어요 50만원,"('과납', 0.51)","('휴대폰 결제 취소 방법', 0.475)",
연락처,"('제조사 AS 센터 연락처', 0.688)","('전화 상담사 연결', 0.58)","('타 통신사 고객센터', 0.566)"
해지요청,"('이동전화 해지 방법', 0.843)","('철회', 0.597)","('SKT 해지 미납센터 연락처', 0.548)"
단체문자,"('메시지 관련', 0.638)","('문자메시지 서비스', 0.631)","('등기문자', 0.61)"
11월16일 납부가능,"('요금 납부일 확인 방법', 0.626)","('단말기 할부금 중도 납부 방법', 0.579)","('요금 납부일 변경 방법', 0.567)"
함께쓰기,"('Data 함께쓰기', 0.91)","('Data 함께쓰기 신청방법', 0.57)","('5G 함께쓰기 프로모션', 0.543)"
데이터 얼마나 썼어?,"('최근 사용량 확인 방법', 0.724)","('실시간 요금 상세 내역', 0.539)","('데이터 문의 관련', 0.525)"
"신한카드박보경님 통신요금이 승인 되지 않았습니다. 2,950원 SK텔레콤",,,
휴대폰결제 한도,"('법인 휴대폰 결제 이용 한도', 0.695)","('애플 콘텐츠 이용료 결제 이용 한도', 0.644)","('060정보료 한도제', 0.522)"
내명의 요금,,,
착신전화,"('착신전환', 0.869)","('착신전환 이용 방법', 0.646)","('착신전환 신청 방법', 0.63)"
배달의 민족,,,
25일 납부 가능해요,"('단말기 할부금 중도 납부 방법', 0.622)","('요금 납부일 확인 방법', 0.602)","('요금 납부일 변경 방법', 0.581)"
번호도용문자,"('번호도용문자차단', 0.763)","('번호도용문자차단 신청 방법', 0.622)","('번호도용문자차단 해지 방법', 0.587)"
네 해지해주세요,"('이동전화 해지 방법', 0.815)","('퀵보이스 해지 방법', 0.551)","('철회', 0.527)"
유심인식,"('USIM 스마트인증', 0.546)","('USIM기변 방법', 0.525)","('휴대폰인증서서비스', 0.499)"
9월달요금,"('요금제문의', 0.545)","('T 아이폰파손9', 0.497)","('T Tab 9', 0.492)"
미납금액 1월11일 납부예정,"('요금 납부일 확인 방법', 0.571)","('요금 수납 내역 확인 방법', 0.54)","('단말기 할부금 중도 납부 방법', 0.529)"
사업자세금계산서,"('세금계산서 신청 방법', 0.784)","('세금계산서 재발행 방법', 0.581)","('법인 세금계산서 재발행 방법', 0.451)"
노래방,"('음악 관련', 0.502)","('NUGU 서비스 금영 노래방', 0.451)","('게임 관련', 0.427)"
국제전화 발신 해제 요청,"('국제전화 알림 Biz 레터링', 0.693)","('국제전화 발신 금지', 0.602)","('국제전화수신거부서비스 해지 방법', 0.537)"
데이터조회 문자,"('데이터 문의 관련', 0.728)","('데이터 추가 사용 방법', 0.521)","('데이터SOS', 0.508)"
20일에 납부가능합니다,"('요금 납부일 확인 방법', 0.684)","('요금 납부일 변경 방법', 0.641)","('단말기 할부금 중도 납부 방법', 0.612)"
계좌번호좀주세요,"('자동납부번호 확인 방법', 0.419)",,
01047959340 아이폰으로 애플결제된 8천원이 무엇인지요,"('애플 콘텐츠 이용료 결제 내역 확인 방법', 0.414)",,
납부 가능 날짜 11월 30일 입니다,"('요금 납부일 확인 방법', 0.736)","('요금 납부일 변경 방법', 0.669)","('단말기 할부금 중도 납부 방법', 0.552)"
t전화해제,"('T전화 탈퇴 및 서비스 미사용', 0.589)","('차단해제 관련', 0.572)","('T전화채티대화이력삭제', 0.537)"
이용요금,"('요금제문의', 0.661)","('실시간 요금 상세 내역', 0.584)","('요금 수납 내역 확인 방법', 0.441)"
로밍 이용방법,"('로밍 중 전화 발신 방법', 0.588)","('T로밍 고객센터', 0.568)","('T전화 baro 이용 방법', 0.517)"
현지국가전화하기,"('로밍 중 전화 발신 방법', 0.543)","('T전화 baro 이용 방법', 0.514)","('T전화 baro', 0.509)"
9월 청구요금 조회,"('실시간 요금 상세 내역', 0.456)",,
미납요금 납부가능일 문의,"('요금 납부일 확인 방법', 0.787)","('요금 납부일 변경 방법', 0.648)","('요금 수납 내역 확인 방법', 0.516)"
부재중 전화 표시,"('T_부재중안내', 0.656)","('통화중대기 서비스', 0.51)","('콜키퍼', 0.507)"
너 비트박스 할수있어?,,,
상담사 불러줘,"('전화 상담사 연결', 0.893)","('SK텔레콤 고객센터 운영 시간', 0.646)","('제조사 AS 센터 연락처', 0.483)"
24일 납부가능,"('요금 납부일 확인 방법', 0.615)","('요금 납부일 변경 방법', 0.579)","('단말기 할부금 중도 납부 방법', 0.554)"
핸드폰 요금,"('요금제문의', 0.662)","('단말기 할부', 0.495)","('자녀 요금 조회 방법', 0.442)"
T월드에서 문자전송할때 인증을 꼭 거쳐야하나요?,"('인증 관련', 0.619)","('Tworld 문자 보내기 이용 방법', 0.456)","('로밍 중 인증 문자 수신', 0.424)"
너는전화를받지않아,"('휴대폰 전화 수신 불가 조치 방법', 0.515)","('차단 관련', 0.443)","('T전화 스팸 기능', 0.422)"
휴대폰 결제 한도 변경,"('법인 휴대폰 결제 이용 한도', 0.592)","('애플 콘텐츠 이용료 결제 이용 한도', 0.485)","('휴대폰 결제 이용 제한 방법', 0.456)"
공중전화로,"('전화 관련', 0.581)","('mVoIP', 0.461)","('T전화', 0.435)"
T전화 자동받기,"('T전화', 0.417)","('T전화 작은 수신화면 모드', 0.408)","('가족 간 데이터 자동 선물하기', 0.4)"
전화 통화가 안돼요,"('휴대폰 전화 수발신 불가 조치 방법', 0.816)","('통화품질 관련', 0.696)","('휴대폰 전화 수신 불가 조치 방법', 0.626)"
고객센터 번호,"('제조사 AS 센터 연락처', 0.736)","('전화 상담사 연결', 0.709)","('SK텔레콤 고객센터 운영 시간', 0.676)"
약정할인상담,"('요금약정 할인제도', 0.604)","('데이터결합약정할인', 0.52)","('T지원금 약정', 0.475)"
요금 냈어요,"('요금 수납 내역 확인 방법', 0.822)","('수납이력서 재발행 방법', 0.54)","('요금 납부일 확인 방법', 0.535)"
납부가능일 25일,"('요금 납부일 확인 방법', 0.746)","('요금 납부일 변경 방법', 0.664)","('요금 수납 내역 확인 방법', 0.556)"
자녀선택약정가입,"('다른 번호 문의', 0.454)",,
20일 납부가능합니다,"('요금 납부일 확인 방법', 0.646)","('단말기 할부금 중도 납부 방법', 0.639)","('요금 납부일 변경 방법', 0.614)"
내 요금,"('실시간 요금 상세 내역', 0.566)","('요금제문의', 0.499)","('요금 수납 내역 확인 방법', 0.461)"
통합요금,"('통합청구서', 0.706)","('결합 상품', 0.563)","('통합 청구서 해지 방법', 0.495)"
미납금액이번달금액까지 알고싶어요,"('요금 수납 내역 확인 방법', 0.56)","('요금 납부일 확인 방법', 0.539)","('SKT 미납센터 연락처', 0.519)"
로밍방법,"('T로밍 고객센터', 0.625)","('로밍 중 전화 발신 방법', 0.526)","('가족 로밍', 0.464)"
사용정지,"('정지 관련', 0.842)","('일시정지', 0.585)","('미납 이용정지', 0.545)"
부모님  카드로  미납금을  낼려고하는데  따로  있어서  카드  번호만  알면 되나요,"('SKT 미납센터 연락처', 0.563)","('자동납부번호 확인 방법', 0.471)","('동일 신용카드 월 5회 수납 제한', 0.426)"
baro 요금,"('T전화 baro', 0.746)","('T전화 baro 이용 방법', 0.638)","('로밍 통화 요금', 0.586)"
국제전화제한해지,"('국제전화수신거부서비스 해지 방법', 0.692)","('국제전화 발신 금지', 0.523)","('국제전화수신거부 서비스', 0.432)"
미납요금 11월 말일자로 등록 가능할까요,"('SKT 미납센터 연락처', 0.592)","('수납이력서 재발행 방법', 0.516)","('자동납부 해지 방법', 0.494)"
활부금,"('단말기 할부', 0.451)",,
bari,"('T전화 baro', 0.647)","('Foreign Language Service', 0.488)","('T전화 baro 이용 방법', 0.467)"
국제전화 발신 해제,"('국제전화 발신 금지', 0.651)","('국제전화 알림 Biz 레터링', 0.644)","('국제전화 청구 주기', 0.489)"
선물받은 쿠폰,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.574)","('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.494)","('T끼리 데이터 선물하기 알림', 0.413)"
다른상담할래,"('다른 번호 문의', 0.627)","('채티 서비스', 0.444)","('자녀 요금 조회 방법', 0.422)"
국제전화요금,"('국제전화 청구 주기', 0.676)","('로밍 통화 요금', 0.674)","('로밍 중 국제전화카드 사용', 0.577)"
11월 30일 납부 가능합니다.,"('요금 납부일 확인 방법', 0.663)","('단말기 할부금 중도 납부 방법', 0.64)","('요금 납부일 변경 방법', 0.589)"
콘텐츠결제,"('결제 관련', 0.656)","('휴대폰결제 이용동의 신청 방법', 0.563)","('휴대폰결제 이용차단', 0.54)"
10월 청구요금 조회,"('실시간 요금 상세 내역', 0.444)",,
선택약정할인 기간 연장,"('선택약정 할인제도 약정 기간 변경', 0.764)","('선택약정 할인제도 만료 SMS 발송 시기', 0.569)","('연장 관련', 0.486)"
2023년 11월 30일 납부가능일 등록,"('요금 납부일 확인 방법', 0.658)","('요금 납부일 변경 방법', 0.59)","('자동납부 해지 방법', 0.419)"
전화가 안되네요,"('휴대폰 전화 수발신 불가 조치 방법', 0.787)","('통화품질 관련', 0.747)","('고장 실패 관련', 0.73)"
sk텔레콤이 뭐야,"('SKT 5GX', 0.528)","('SK텔레콤 할인 혜택', 0.481)","('휴대폰 관련', 0.467)"
콘텐츠이용료한도변경,"('애플 콘텐츠 이용료 결제 이용 한도', 0.504)","('휴대폰결제 이용 제한 해제 방법', 0.414)",
청구금액,"('요금 납부일 확인 방법', 0.485)","('예상 해지 금액', 0.476)","('요금 수납 내역 확인 방법', 0.474)"
자동납부번호,"('자동납부번호 확인 방법', 0.82)","('자동납부 해지 방법', 0.549)","('법인폰 자동납부내역 조회 방법', 0.47)"
국제전화걸기,"('국제전화 알림 Biz 레터링', 0.69)","('국제전화 청구 주기', 0.589)","('국제전화 사업자 선택', 0.542)"
괌 여행 로밍,"('T괌사이판 요금제 잔여량 확인', 0.59)","('T괌사이판 옵션 변경', 0.546)","('미성년자 로밍', 0.481)"
국제전화 걸기,"('국제전화 알림 Biz 레터링', 0.64)","('국제전화 청구 주기', 0.599)","('로밍 중 전화 발신 방법', 0.573)"
선물하기,"('T끼리 데이터 선물하기 대상', 0.683)","('T끼리 데이터 선물하기 연령', 0.526)","('T끼리 데이터 선물하기 비용', 0.516)"
3개월 전부터 왜 요금이 늘었어?,"('실시간 요금 상세 내역', 0.417)","('요금제문의', 0.41)",
